node,agg_score,fan_in_smurf,mule_hub,new_device_high_amount,impossible_travel,device_ip_entropy,rapid_outgoing_spike,recurring_tester_tx,app_payee_mismatch,synthetic_identity_burst
A_00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_00071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
